sorghum	maize1	maize2	ftype
OQU87930	.	.	non-syntenic
EES03944	Zm00001d042718	Zm00001d012269	both-retained
KXG33760	.	.	non-syntenic
OQU87932	.	.	non-syntenic
KXG33763	.	.	non-syntenic
OQU87934	.	.	non-syntenic
OQU87935	.	.	non-syntenic
KXG33764	Zm00001d042717	.	maize1-retained
OQU87936	Zm00001d042713	.	maize1-retained
EES01819	.	Zm00001d012268	maize2-retained
EES03950	Zm00001d042712	.	maize1-retained
EES03952	Zm00001d042709	Zm00001d012267	both-retained
OQU87937	.	.	non-syntenic
OQU87938	.	.	non-syntenic
EES01822	.	Zm00001d012266	maize2-retained
KXG33768	Zm00001d042706	.	maize1-retained
OQU87939	.	.	non-syntenic
EES01823	Zm00001d042699	Zm00001d012265	both-retained
EES01824	Zm00001d042697	.	maize1-retained
KXG33770	Zm00001d042695	Zm00001d012263	both-retained
KXG33772	Zm00001d042694	.	maize1-retained
OQU87945	Zm00001d042691	.	maize1-retained
EES01826	.	Zm00001d012261	maize2-retained
EES01827	Zm00001d042690	.	maize1-retained
OQU87950	Zm00001d042690	.	maize1-retained
KXG33778	Zm00001d042686	Zm00001d012260	both-retained
KXG33777	Zm00001d042685	.	maize1-retained
KXG33782	.	.	non-syntenic
EES01830	Zm00001d042684	Zm00001d012259	both-retained
EES01831	Zm00001d042684	Zm00001d012259	both-retained
OQU87953	Zm00001d042683	Zm00001d012259	both-retained
KXG33784	Zm00001d042683	Zm00001d012259	both-retained
OQU87954	Zm00001d042683	Zm00001d012259	both-retained
OQU87955	Zm00001d042683	Zm00001d012259	both-retained
OQU87956	.	.	non-syntenic
KXG33789	Zm00001d042684	Zm00001d012259	both-retained
EES01834	Zm00001d042684	Zm00001d012259	both-retained
EES03961	Zm00001d042676	Zm00001d012263	both-retained
EES03962	Zm00001d042673	.	maize1-retained
EES01838	Zm00001d042672	.	maize1-retained
EES01835	.	Zm00001d012258	maize2-retained
EES03964	Zm00001d042670	.	maize1-retained
EES03960	.	.	non-syntenic
EES03963	Zm00001d042669	Zm00001d012257	both-retained
OQU87959	.	.	non-syntenic
EES03967	Zm00001d042667	.	maize1-retained
OQU87960	.	.	non-syntenic
EES01839	Zm00001d042665	Zm00001d012255	both-retained
OQU87961	.	.	non-syntenic
KXG33790	Zm00001d042664	Zm00001d012254	both-retained
OQU87962	.	.	non-syntenic
EES01841	.	Zm00001d012249	maize2-retained
OQU87964	Zm00001d042663	Zm00001d012251	both-retained
EES01840	Zm00001d042662	.	maize1-retained
EES01843	Zm00001d042661	Zm00001d012247	both-retained
KXG33793	.	.	non-syntenic
KXG33794	Zm00001d042660	Zm00001d012246	both-retained
EES01844	Zm00001d042658	Zm00001d012245	both-retained
EES03970	Zm00001d042657	Zm00001d012244	both-retained
EES01845	Zm00001d042654	.	maize1-retained
OQU87967	.	.	non-syntenic
EES01846	Zm00001d042653	Zm00001d012242	both-retained
EES03971	Zm00001d042652	.	maize1-retained
EES01847	Zm00001d042651	.	maize1-retained
EES03972	.	.	non-syntenic
KXG33798	Zm00001d042646	Zm00001d012241	both-retained
EES03974	Zm00001d042643	Zm00001d012240	both-retained
OQU87973	Zm00001d042642	Zm00001d012239	both-retained
EES01849	Zm00001d042641	Zm00001d012238	both-retained
OQU87974	Zm00001d042640	Zm00001d012237	both-retained
KXG33802	Zm00001d042639	.	maize1-retained
OQU87975	Zm00001d042639	Zm00001d012234	both-retained
KXG33805	.	.	non-syntenic
EES01851	.	Zm00001d012233	maize2-retained
KXG33806	.	.	non-syntenic
EES03975	Zm00001d042638	.	maize1-retained
EES01852	Zm00001d042637	.	maize1-retained
OQU87977	Zm00001d042636	Zm00001d012231	both-retained
KXG33808	Zm00001d042636	Zm00001d012229	both-retained
EES03978	Zm00001d042634	Zm00001d012228	both-retained
EES01853	Zm00001d042633	Zm00001d012227	both-retained
OQU87978	Zm00001d042634	Zm00001d012228	both-retained
EES01854	Zm00001d042632	.	maize1-retained
OQU87980	.	Zm00001d012226	maize2-retained
OQU87982	Zm00001d042631	.	maize1-retained
EES01856	Zm00001d042627	Zm00001d012224	both-retained
OQU87984	Zm00001d042626	.	maize1-retained
KXG33812	Zm00001d042624	.	maize1-retained
EES03982	.	Zm00001d012223	maize2-retained
EES01858	.	Zm00001d012221	maize2-retained
KXG33811	.	.	non-syntenic
KXG33813	.	.	non-syntenic
KXG33814	.	Zm00001d012220	maize2-retained
EES03984	.	Zm00001d012219	maize2-retained
KXG33816	.	.	non-syntenic
OQU87985	.	.	non-syntenic
KXG33819	.	.	non-syntenic
EES01862	.	.	non-syntenic
KXG33820	.	.	non-syntenic
EES03986	.	.	non-syntenic
OQU87986	.	.	non-syntenic
KXG33822	.	Zm00001d012216	maize2-retained
OQU87988	.	.	non-syntenic
OQU87989	.	.	non-syntenic
OQU87990	Zm00001d042621	.	maize1-retained
EES01865	.	Zm00001d012217	maize2-retained
OQU87991	Zm00001d042620	.	maize1-retained
EES01866	.	.	non-syntenic
EES03989	Zm00001d042619	.	maize1-retained
EES03987	.	Zm00001d012216	maize2-retained
EES01864	Zm00001d042618	.	maize1-retained
EES01868	Zm00001d042617	.	maize1-retained
EES01869	Zm00001d042615	Zm00001d012213	both-retained
KXG33827	.	.	non-syntenic
EES01867	Zm00001d042613	.	maize1-retained
OQU87992	.	.	non-syntenic
OQU87995	Zm00001d042611	Zm00001d012212	both-retained
EES03991	Zm00001d042610	Zm00001d012211	both-retained
KXG33829	Zm00001d042609	.	maize1-retained
EES01872	Zm00001d042608	.	maize1-retained
KXG33831	Zm00001d042605	.	maize1-retained
KXG33833	Zm00001d042603	Zm00001d012206	both-retained
OQU88000	Zm00001d042602	.	maize1-retained
EES03995	Zm00001d042601	Zm00001d012205	both-retained
EES03996	Zm00001d042600	.	maize1-retained
EES03997	Zm00001d042599	Zm00001d012204	both-retained
EES03998	Zm00001d042598	.	maize1-retained
OQU88001	Zm00001d042596	.	maize1-retained
EES01875	.	.	non-syntenic
OQU88002	.	.	non-syntenic
KXG33837	Zm00001d042593	.	maize1-retained
EES03999	.	Zm00001d012203	maize2-retained
EES01878	Zm00001d042591	.	maize1-retained
EES01879	Zm00001d042590	.	maize1-retained
OQU88003	Zm00001d042589	.	maize1-retained
KXG33839	Zm00001d042588	.	maize1-retained
OQU88004	.	.	non-syntenic
EES04002	.	Zm00001d012199	maize2-retained
KXG33843	Zm00001d042585	Zm00001d012198	both-retained
OQU88005	.	.	non-syntenic
EES01881	Zm00001d042584	Zm00001d012197	both-retained
EES04005	Zm00001d042583	.	maize1-retained
KXG33847	Zm00001d042582	Zm00001d012196	both-retained
EES04006	Zm00001d042581	.	maize1-retained
EES01882	Zm00001d042580	.	maize1-retained
OQU88006	.	.	non-syntenic
KXG33848	Zm00001d042578	.	maize1-retained
KXG33849	Zm00001d042575	Zm00001d012195	both-retained
KXG33851	Zm00001d042574	Zm00001d012194	both-retained
OQU88007	Zm00001d042573	.	maize1-retained
OQU88008	Zm00001d042572	.	maize1-retained
EES01884	Zm00001d042569	.	maize1-retained
KXG33853	.	.	non-syntenic
OQU88009	Zm00001d042568	.	maize1-retained
KXG33856	.	.	non-syntenic
KXG33855	Zm00001d042567	.	maize1-retained
EES04016	.	Zm00001d012185	maize2-retained
OQU88010	.	Zm00001d012178	maize2-retained
KXG33858	.	.	non-syntenic
KXG33859	Zm00001d042560	.	maize1-retained
KXG33860	.	Zm00001d012177	maize2-retained
EES04018	.	.	non-syntenic
KXG33862	Zm00001d042558	.	maize1-retained
KXG33863	.	Zm00001d012176	maize2-retained
EES01886	Zm00001d042555	.	maize1-retained
KXG33866	.	.	non-syntenic
OQU88014	.	.	non-syntenic
OQU88015	.	.	non-syntenic
OQU88017	.	.	non-syntenic
OQU88018	Zm00001d042553	Zm00001d012175	both-retained
OQU88019	.	.	non-syntenic
EES01887	Zm00001d042553	Zm00001d012175	both-retained
KXG33873	Zm00001d042553	Zm00001d012175	both-retained
KXG33869	Zm00001d042551	Zm00001d012177	both-retained
EES01891	Zm00001d042549	.	maize1-retained
OQU88020	.	.	non-syntenic
OQU88024	Zm00001d042543	.	maize1-retained
OQU88026	.	Zm00001d012181	maize2-retained
EES04025	Zm00001d042541	.	maize1-retained
KXG33879	.	.	non-syntenic
KXG33880	.	.	non-syntenic
KXG33881	.	.	non-syntenic
EES04028	Zm00001d042540	.	maize1-retained
EES04029	Zm00001d042536	Zm00001d012173	both-retained
EES01893	Zm00001d042535	.	maize1-retained
KXG33882	Zm00001d042534	Zm00001d012171	both-retained
KXG33884	Zm00001d042533	.	maize1-retained
OQU88028	.	.	non-syntenic
KXG33885	.	.	non-syntenic
KXG33886	.	.	non-syntenic
EES01894	.	Zm00001d012170	maize2-retained
EES04031	.	Zm00001d012169	maize2-retained
EES04032	.	.	non-syntenic
KXG33889	.	.	non-syntenic
EES04033	.	.	non-syntenic
EES01896	Zm00001d042530	Zm00001d012168	both-retained
KXG33890	.	.	non-syntenic
EES01897	.	.	non-syntenic
KXG33891	.	.	non-syntenic
EES01898	.	Zm00001d012167	maize2-retained
KXG33892	Zm00001d042528	Zm00001d012166	both-retained
EES04034	Zm00001d042527	Zm00001d012165	both-retained
EES04035	Zm00001d042526	.	maize1-retained
KXG33893	Zm00001d042525	Zm00001d012161	both-retained
KXG33895	Zm00001d042523	.	maize1-retained
KXG33896	Zm00001d042520	.	maize1-retained
OQU88032	Zm00001d042519	.	maize1-retained
OQU88031	.	.	non-syntenic
OQU88033	Zm00001d042512	.	maize1-retained
KXG33898	Zm00001d042511	.	maize1-retained
KXG33899	.	.	non-syntenic
OQU88034	.	.	non-syntenic
OQU88035	.	.	non-syntenic
EES01903	Zm00001d042510	Zm00001d012160	both-retained
KXG33903	.	.	non-syntenic
EES01904	Zm00001d042508	.	maize1-retained
EES01905	Zm00001d042507	Zm00001d012159	both-retained
EES04039	Zm00001d042506	Zm00001d012158	both-retained
OQU88037	.	.	non-syntenic
EES04041	Zm00001d042505	Zm00001d012156	both-retained
OQU88038	.	Zm00001d012155	maize2-retained
EES01907	Zm00001d042504	.	maize1-retained
KXG33905	.	.	non-syntenic
OQU88042	.	.	non-syntenic
EES01908	Zm00001d042503	Zm00001d012154	both-retained
KXG33908	.	Zm00001d012153	maize2-retained
OQU88043	Zm00001d042500	.	maize1-retained
OQU88045	.	.	non-syntenic
OQU88046	Zm00001d042499	.	maize1-retained
EES04044	Zm00001d042498	.	maize1-retained
EES04045	Zm00001d042494	.	maize1-retained
EES04046	Zm00001d042493	.	maize1-retained
KXG33917	Zm00001d042492	.	maize1-retained
KXG33919	Zm00001d042490	.	maize1-retained
OQU88047	Zm00001d042487	.	maize1-retained
OQU88051	Zm00001d042486	Zm00001d012147	both-retained
KXG33922	Zm00001d042486	Zm00001d012147	both-retained
KXG33923	Zm00001d042482	.	maize1-retained
OQU88052	Zm00001d042481	.	maize1-retained
EES04050	Zm00001d042480	Zm00001d012146	both-retained
EES04051	Zm00001d042479	Zm00001d012145	both-retained
KXG33927	Zm00001d042478	.	maize1-retained
EES01913	.	Zm00001d012144	maize2-retained
OQU88053	.	.	non-syntenic
OQU88054	.	.	non-syntenic
EES04053	Zm00001d042476	Zm00001d012142	both-retained
OQU88055	.	Zm00001d012141	maize2-retained
KXG33931	Zm00001d042475	.	maize1-retained
OQU88056	Zm00001d042474	Zm00001d012140	both-retained
OQU88057	.	.	non-syntenic
OQU88058	.	.	non-syntenic
OQU88059	.	.	non-syntenic
KXG33934	.	.	non-syntenic
OQU88060	.	.	non-syntenic
KXG33935	.	.	non-syntenic
KXG33937	Zm00001d042473	Zm00001d012138	both-retained
EES01920	Zm00001d042472	.	maize1-retained
KXG33941	Zm00001d042470	Zm00001d012137	both-retained
OQU88062	Zm00001d042469	.	maize1-retained
EES04059	Zm00001d042468	.	maize1-retained
EES04060	Zm00001d042464	.	maize1-retained
EES04061	Zm00001d042463	Zm00001d012128	both-retained
OQU88064	Zm00001d042461	.	maize1-retained
EES01922	Zm00001d042461	.	maize1-retained
OQU88067	Zm00001d042460	.	maize1-retained
OQU88068	Zm00001d042455	.	maize1-retained
EES01923	Zm00001d042454	.	maize1-retained
EES04064	Zm00001d042453	Zm00001d012103	both-retained
KXG33949	.	.	non-syntenic
EES04065	Zm00001d042452	Zm00001d012108	both-retained
OQU88069	.	.	non-syntenic
KXG33950	Zm00001d042451	.	maize1-retained
EES04067	Zm00001d042450	.	maize1-retained
EES01924	Zm00001d042449	Zm00001d012109	both-retained
EES01925	Zm00001d042448	Zm00001d012118	both-retained
EES04068	.	.	non-syntenic
OQU88072	.	.	non-syntenic
OQU88074	.	.	non-syntenic
KXG33953	Zm00001d042447	Zm00001d012119	both-retained
EES01927	Zm00001d042446	Zm00001d012120	both-retained
KXG33951	.	Zm00001d012121	maize2-retained
OQU88075	.	.	non-syntenic
EES01930	Zm00001d042445	.	maize1-retained
KXG33955	Zm00001d042444	Zm00001d012126	both-retained
EES01931	Zm00001d042443	.	maize1-retained
OQU88082	.	.	non-syntenic
EES04070	.	Zm00001d012127	maize2-retained
EES04071	Zm00001d042441	Zm00001d012102	both-retained
KXG33957	.	.	non-syntenic
KXG33956	.	.	non-syntenic
EES01933	Zm00001d042438	.	maize1-retained
EES04073	Zm00001d042437	Zm00001d012101	both-retained
OQU88083	.	.	non-syntenic
EES04074	Zm00001d042436	.	maize1-retained
KXG33958	Zm00001d042435	.	maize1-retained
KXG33959	.	Zm00001d012097	maize2-retained
KXG33960	Zm00001d042434	Zm00001d012096	both-retained
KXG33961	Zm00001d042433	Zm00001d012092	both-retained
EES04076	Zm00001d042433	Zm00001d012092	both-retained
KXG33962	Zm00001d042432	.	maize1-retained
EES01938	Zm00001d042427	.	maize1-retained
OQU88087	Zm00001d042426	.	maize1-retained
EES04078	Zm00001d042425	.	maize1-retained
EES01940	Zm00001d042421	.	maize1-retained
EES04079	Zm00001d042420	Zm00001d012091	both-retained
KXG33963	.	Zm00001d012090	maize2-retained
EES04080	.	Zm00001d012088	maize2-retained
EES04081	.	Zm00001d012088	maize2-retained
EES04082	.	Zm00001d012088	maize2-retained
EES04083	.	Zm00001d012087	maize2-retained
EES04084	Zm00001d042416	.	maize1-retained
OQU88089	Zm00001d042398	Zm00001d012086	both-retained
KXG33965	Zm00001d042397	.	maize1-retained
EES04085	Zm00001d042396	.	maize1-retained
EES04087	Zm00001d042395	.	maize1-retained
EES01942	Zm00001d042394	Zm00001d012085	both-retained
OQU88090	Zm00001d042393	.	maize1-retained
OQU88092	.	.	non-syntenic
EES01944	.	Zm00001d012084	maize2-retained
EES01945	.	Zm00001d012083	maize2-retained
EES04089	Zm00001d042389	Zm00001d012078	both-retained
EES04090	Zm00001d042388	.	maize1-retained
OQU88094	.	.	non-syntenic
OQU88095	.	.	non-syntenic
OQU88096	.	.	non-syntenic
KXG33971	Zm00001d042380	Zm00001d012078	both-retained
OQU88097	.	.	non-syntenic
KXG33973	Zm00001d042386	.	maize1-retained
EES04094	.	.	non-syntenic
EES04091	Zm00001d042383	Zm00001d012081	both-retained
EES01946	Zm00001d042382	Zm00001d012080	both-retained
EES01947	Zm00001d042381	Zm00001d012079	both-retained
EES04095	Zm00001d042380	Zm00001d012078	both-retained
OQU88099	Zm00001d042378	.	maize1-retained
KXG33976	.	Zm00001d012074	maize2-retained
EES04096	Zm00001d042376	Zm00001d012069	both-retained
KXG33975	.	.	non-syntenic
OQU88100	.	.	non-syntenic
EES01950	.	Zm00001d012068	maize2-retained
EES04098	Zm00001d042373	Zm00001d012067	both-retained
EES04099	.	.	non-syntenic
EES04100	Zm00001d042372	Zm00001d012064	both-retained
EES04101	Zm00001d042371	Zm00001d012063	both-retained
EES04102	Zm00001d042370	Zm00001d012061	both-retained
EES04103	.	Zm00001d012060	maize2-retained
EES01953	Zm00001d042367	Zm00001d012059	both-retained
KXG33979	.	.	non-syntenic
EES01954	.	Zm00001d012052	maize2-retained
OQU88101	.	.	non-syntenic
EES01955	.	Zm00001d012050	maize2-retained
KXG33980	.	.	non-syntenic
EES01956	Zm00001d042366	.	maize1-retained
KXG33982	Zm00001d042365	.	maize1-retained
KXG33983	Zm00001d042363	Zm00001d012049	both-retained
EES01957	Zm00001d042362	Zm00001d012048	both-retained
OQU88102	.	.	non-syntenic
EES04106	Zm00001d042361	Zm00001d012047	both-retained
EES04107	Zm00001d042359	Zm00001d012045	both-retained
EES04108	Zm00001d042357	Zm00001d012043	both-retained
OQU88103	.	.	non-syntenic
EES04109	.	Zm00001d012042	maize2-retained
KXG33988	.	Zm00001d012041	maize2-retained
KXG33989	Zm00001d042355	.	maize1-retained
KXG33990	.	Zm00001d012040	maize2-retained
KXG33991	.	.	non-syntenic
EES04111	Zm00001d042353	Zm00001d012036	both-retained
EES01962	Zm00001d042350	Zm00001d012045	both-retained
EES01963	Zm00001d042349	Zm00001d012035	both-retained
OQU88107	.	.	non-syntenic
EES01965	.	.	non-syntenic
OQU88111	Zm00001d042346	.	maize1-retained
KXG33996	Zm00001d042345	.	maize1-retained
EES04113	Zm00001d042344	Zm00001d012033	both-retained
OQU88113	.	.	non-syntenic
EES04112	Zm00001d042343	.	maize1-retained
EES01966	Zm00001d042341	Zm00001d012031	both-retained
KXG34000	Zm00001d042340	Zm00001d012030	both-retained
EES04114	.	Zm00001d012029	maize2-retained
EES04116	Zm00001d042338	Zm00001d012027	both-retained
EES01968	Zm00001d042337	Zm00001d012021	both-retained
KXG34001	Zm00001d042336	Zm00001d012021	both-retained
OQU88116	.	.	non-syntenic
EES01970	Zm00001d042336	Zm00001d012021	both-retained
EES01971	Zm00001d042336	Zm00001d012021	both-retained
OQU88117	.	.	non-syntenic
OQU88118	Zm00001d042337	Zm00001d012022	both-retained
EES01973	Zm00001d042336	Zm00001d012021	both-retained
KXG34004	.	.	non-syntenic
OQU88120	Zm00001d042335	.	maize1-retained
EES01975	Zm00001d042333	.	maize1-retained
EES01976	Zm00001d042331	Zm00001d012020	both-retained
EES04118	.	Zm00001d012019	maize2-retained
EES01977	Zm00001d042329	Zm00001d012017	both-retained
KXG34006	Zm00001d042328	Zm00001d012016	both-retained
OQU88122	.	.	non-syntenic
OQU88123	.	.	non-syntenic
OQU88124	.	.	non-syntenic
OQU88125	.	.	non-syntenic
OQU88126	.	.	non-syntenic
KXG34009	.	.	non-syntenic
EES04120	Zm00001d042325	.	maize1-retained
EES01979	Zm00001d042319	Zm00001d012015	both-retained
KXG34011	Zm00001d042317	.	maize1-retained
EES01980	Zm00001d042315	.	maize1-retained
OQU88127	.	.	non-syntenic
OQU88129	.	Zm00001d012010	maize2-retained
OQU88130	.	.	non-syntenic
EES01984	Zm00001d042314	Zm00001d012007	both-retained
EES01985	Zm00001d042313	.	maize1-retained
KXG34012	Zm00001d042312	Zm00001d012005	both-retained
KXG34014	.	.	non-syntenic
KXG34015	.	.	non-syntenic
EES01986	Zm00001d042310	Zm00001d012003	both-retained
KXG34016	.	Zm00001d011997	maize2-retained
KXG34017	.	Zm00001d011996	maize2-retained
EES04122	Zm00001d042309	Zm00001d011994	both-retained
OQU88131	.	.	non-syntenic
OQU88132	.	Zm00001d011993	maize2-retained
EES01990	Zm00001d042308	Zm00001d011992	both-retained
EES01991	Zm00001d042307	Zm00001d011987	both-retained
EES04123	Zm00001d042306	.	maize1-retained
EES01992	Zm00001d042305	Zm00001d011985	both-retained
EES01994	Zm00001d042303	Zm00001d011984	both-retained
KXG34019	.	Zm00001d011983	maize2-retained
OQU88135	Zm00001d042293	.	maize1-retained
EES01993	Zm00001d042302	Zm00001d011979	both-retained
KXG34021	.	Zm00001d011979	maize2-retained
EES04127	Zm00001d042292	Zm00001d011978	both-retained
EES04128	Zm00001d042292	Zm00001d011978	both-retained
OQU88136	.	.	non-syntenic
EES04124	Zm00001d042291	Zm00001d011975	both-retained
EES04130	.	Zm00001d011972	maize2-retained
KXG34022	.	Zm00001d011971	maize2-retained
KXG34024	.	.	non-syntenic
KXG34023	Zm00001d042290	Zm00001d011970	both-retained
OQU88137	Zm00001d042289	.	maize1-retained
EES01998	Zm00001d042288	Zm00001d011969	both-retained
OQU88138	.	.	non-syntenic
EES04132	Zm00001d042287	.	maize1-retained
EES01999	Zm00001d042286	Zm00001d011968	both-retained
EES04133	Zm00001d042285	Zm00001d011967	both-retained
EES04134	.	Zm00001d011966	maize2-retained
EES02000	.	.	non-syntenic
EES02001	Zm00001d042284	.	maize1-retained
KXG34028	Zm00001d042282	Zm00001d011965	both-retained
EES04135	Zm00001d042281	Zm00001d011964	both-retained
EES04136	Zm00001d042279	Zm00001d011959	both-retained
EES04137	Zm00001d042276	Zm00001d011959	both-retained
EES02002	Zm00001d042275	.	maize1-retained
KXG34030	.	Zm00001d011958	maize2-retained
KXG34032	.	.	non-syntenic
OQU88143	.	.	non-syntenic
EES02004	Zm00001d042274	.	maize1-retained
KXG34033	.	.	non-syntenic
OQU88147	Zm00001d042272	Zm00001d011956	both-retained
OQU88149	Zm00001d042271	.	maize1-retained
EES04138	Zm00001d042270	Zm00001d011955	both-retained
EES04139	Zm00001d042269	.	maize1-retained
EES02007	Zm00001d042268	.	maize1-retained
KXG34038	Zm00001d042267	Zm00001d011953	both-retained
KXG34040	Zm00001d042266	Zm00001d011952	both-retained
EES04141	Zm00001d042264	.	maize1-retained
EES04142	Zm00001d042263	.	maize1-retained
EES04143	Zm00001d042262	.	maize1-retained
KXG34044	Zm00001d042259	Zm00001d011945	both-retained
KXG34045	.	.	non-syntenic
EES04144	Zm00001d042258	Zm00001d011944	both-retained
EES04145	.	Zm00001d011943	maize2-retained
EES02009	.	Zm00001d011941	maize2-retained
OQU88153	Zm00001d042257	.	maize1-retained
EES04147	Zm00001d042256	.	maize1-retained
EES04148	Zm00001d042250	Zm00001d011930	both-retained
OQU88155	.	.	non-syntenic
KXG34050	.	.	non-syntenic
EES04149	.	Zm00001d011940	maize2-retained
EES02012	Zm00001d042245	Zm00001d011938	both-retained
OQU88158	.	.	non-syntenic
EES02013	Zm00001d042244	.	maize1-retained
KXG34053	Zm00001d042244	.	maize1-retained
EES02015	.	Zm00001d011932	maize2-retained
EES04150	Zm00001d042243	.	maize1-retained
OQU88159	.	.	non-syntenic
KXG34055	Zm00001d042250	Zm00001d011930	both-retained
KXG34056	.	.	non-syntenic
EES04152	.	Zm00001d011929	maize2-retained
EES04153	.	Zm00001d011928	maize2-retained
KXG34058	.	Zm00001d011927	maize2-retained
EES04154	Zm00001d042241	.	maize1-retained
EES04155	Zm00001d042239	Zm00001d011926	both-retained
EES04156	Zm00001d042239	Zm00001d011925	both-retained
EES04157	Zm00001d042239	Zm00001d011925	both-retained
EES02017	Zm00001d042237	Zm00001d011924	both-retained
EES02018	Zm00001d042234	Zm00001d011923	both-retained
KXG34059	Zm00001d042229	.	maize1-retained
KXG34060	Zm00001d042229	.	maize1-retained
KXG34061	.	Zm00001d011922	maize2-retained
EES04160	.	Zm00001d011921	maize2-retained
KXG34062	Zm00001d042229	.	maize1-retained
OQU88161	Zm00001d042229	.	maize1-retained
KXG34064	Zm00001d042226	.	maize1-retained
KXG34066	Zm00001d042225	.	maize1-retained
KXG34067	.	.	non-syntenic
EES04162	Zm00001d042217	.	maize1-retained
EES02019	.	.	non-syntenic
KXG34068	Zm00001d042216	.	maize1-retained
EES04163	Zm00001d042215	Zm00001d011920	both-retained
EES04164	Zm00001d042214	Zm00001d011919	both-retained
KXG34072	Zm00001d042213	Zm00001d011918	both-retained
OQU88162	Zm00001d042212	.	maize1-retained
EES02021	Zm00001d042211	.	maize1-retained
KXG34073	Zm00001d042210	Zm00001d011917	both-retained
KXG34074	Zm00001d042210	Zm00001d011917	both-retained
OQU88164	Zm00001d042210	Zm00001d011917	both-retained
EES04169	Zm00001d042209	Zm00001d011917	both-retained
OQU88165	Zm00001d042207	Zm00001d011917	both-retained
EES04172	Zm00001d042202	.	maize1-retained
KXG34077	Zm00001d042200	.	maize1-retained
OQU88166	Zm00001d042197	Zm00001d011915	both-retained
EES04176	Zm00001d042196	Zm00001d011915	both-retained
EES04173	Zm00001d042193	.	maize1-retained
EES04177	Zm00001d042192	.	maize1-retained
EES02024	Zm00001d042189	Zm00001d011913	both-retained
EES04178	Zm00001d042191	.	maize1-retained
EES04179	Zm00001d042185	Zm00001d011912	both-retained
OQU88167	.	.	non-syntenic
EES02025	Zm00001d042187	.	maize1-retained
KXG34080	Zm00001d042184	.	maize1-retained
EES04181	Zm00001d042183	.	maize1-retained
OQU88168	.	.	non-syntenic
OQU88169	.	.	non-syntenic
KXG34081	.	.	non-syntenic
EES04182	Zm00001d042182	.	maize1-retained
EES04183	Zm00001d042180	Zm00001d011904	both-retained
EES04180	.	.	non-syntenic
EES04184	Zm00001d042179	Zm00001d011903	both-retained
EES04185	Zm00001d042179	Zm00001d011903	both-retained
EES04186	Zm00001d042179	Zm00001d011903	both-retained
EES04187	Zm00001d042179	Zm00001d011903	both-retained
KXG34082	.	.	non-syntenic
OQU88171	.	Zm00001d011902	maize2-retained
OQU88172	.	Zm00001d011901	maize2-retained
EES02031	Zm00001d042178	.	maize1-retained
KXG34083	.	Zm00001d011901	maize2-retained
KXG34085	.	Zm00001d011900	maize2-retained
KXG34084	Zm00001d042169	Zm00001d011899	both-retained
EES04190	Zm00001d042168	Zm00001d011898	both-retained
EES02032	Zm00001d042160	.	maize1-retained
OQU88174	Zm00001d042164	Zm00001d011896	both-retained
OQU88178	.	Zm00001d011895	maize2-retained
KXG34089	Zm00001d042158	.	maize1-retained
EES02034	Zm00001d042152	.	maize1-retained
EES02036	Zm00001d042150	Zm00001d011891	both-retained
KXG34090	.	.	non-syntenic
EES02037	Zm00001d042148	Zm00001d011890	both-retained
OQU88184	Zm00001d042146	Zm00001d011889	both-retained
KXG34092	.	.	non-syntenic
EES02039	Zm00001d042144	Zm00001d011887	both-retained
EES04193	Zm00001d042143	Zm00001d011886	both-retained
EES04194	Zm00001d042143	Zm00001d011886	both-retained
EES04192	.	.	non-syntenic
OQU88186	Zm00001d042142	.	maize1-retained
EES04196	Zm00001d042141	Zm00001d011886	both-retained
EES04197	Zm00001d042140	Zm00001d011886	both-retained
EES04199	Zm00001d042138	Zm00001d011886	both-retained
KXG34094	Zm00001d042140	Zm00001d011886	both-retained
EES04195	Zm00001d042137	.	maize1-retained
EES04202	Zm00001d042135	.	maize1-retained
KXG34096	Zm00001d042136	.	maize1-retained
EES04201	Zm00001d042135	.	maize1-retained
OQU88189	Zm00001d042135	.	maize1-retained
OQU88191	Zm00001d042134	.	maize1-retained
KXG34099	Zm00001d042133	Zm00001d011885	both-retained
KXG34097	Zm00001d042132	.	maize1-retained
KXG34098	.	.	non-syntenic
OQU88192	.	.	non-syntenic
KXG34103	.	.	non-syntenic
EES04208	.	.	non-syntenic
EES02042	Zm00001d042140	Zm00001d011886	both-retained
EES04207	Zm00001d042131	.	maize1-retained
KXG34104	Zm00001d042130	.	maize1-retained
KXG34105	Zm00001d042128	.	maize1-retained
EES02045	Zm00001d042127	Zm00001d011881	both-retained
EES02043	Zm00001d042123	.	maize1-retained
OQU88195	Zm00001d042123	.	maize1-retained
EES02047	Zm00001d042118	Zm00001d011880	both-retained
EES04210	Zm00001d042117	.	maize1-retained
KXG34107	Zm00001d042116	.	maize1-retained
EES04212	Zm00001d042114	Zm00001d011879	both-retained
KXG34108	.	.	non-syntenic
KXG34110	.	Zm00001d011885	maize2-retained
OQU88196	Zm00001d042111	Zm00001d011878	both-retained
KXG34114	.	Zm00001d011877	maize2-retained
EES02048	Zm00001d042108	.	maize1-retained
OQU88197	.	Zm00001d011876	maize2-retained
EES04217	Zm00001d042107	.	maize1-retained
KXG34118	.	.	non-syntenic
KXG34116	Zm00001d042102	.	maize1-retained
KXG34121	.	.	non-syntenic
OQU88198	Zm00001d042104	.	maize1-retained
